area,areasize,areatype,Bedrooms,price
Mallampet,1064.0,carpet area,2,50.5
Pragathi Nagar,1155.0,carpet area,2,70.0
,1000.0,carpet area,2,40.0
Bandam Kommu,1000.0,carpet area,2,40.0
Narsingi,1800.0,super area,3,120.0
Chintal,1150.0,carpet area,2,40.0
Ghatkesar,1100.0,super area,2,50.0
Patelguda,1750.0,super area,3,120.0
Deepthisri Nagar,880.0,carpet area,2,65.0
Gowlidoddy,970.0,carpet area,2,80.0
Kardhanur,1182.0,carpet area,2,33.0
Attapur,893.0,carpet area,2,75.0
Annojiguda,1897.0,super area,3,70.0
King Koti,624.0,carpet area,2,40.0
Hafeezpet,993.0,super area,2,72.0
Old Alwal,1060.0,super area,2,60.0
Kailash Hills,1170.0,super area,2,60.0
Adibatla,1130.0,carpet area,2,65.0
Medipally,1050.0,carpet area,2,50.0
Hafeezpet,1271.0,super area,2,98.0
Ghatkesar,1150.0,super area,2,35.6
Kuntloor,2500.0,carpet area,4,120.0
Dammaiguda,1425.0,carpet area,2,80.0
Saidabad Colony,1200.0,super area,3,40.0
Golconda Fort,1392.0,carpet area,3,66.0
K P H B Phase 5,1278.0,super area,2,114.99999999999999
,1503.0,super area,2,85.0
Ahmadguda,1400.0,carpet area,2,65.0
Indresham,760.0,carpet area,2,29.8
Lingampally-Serilingampally,1975.0,super area,3,86.0
Borabanda,450.0,carpet area,2,80.0
Vikas Nagar-Dilsukh Nagar,1500.0,super area,2,120.0
Krishna Reddy Pet,1150.0,super area,2,48.0
,1640.0,carpet area,3,72.0
Miyapur,1000.0,super area,2,45.0
Saroor Nagar West,1200.0,carpet area,2,64.0
,1566.0,super area,2,99.0
Registration Colony,1350.0,carpet area,3,52.0
Meerpet,915.0,super area,2,42.0
Neredmet,1780.0,super area,3,90.0
Rajendra Nagar,1040.0,super area,2,74.0
,1260.0,carpet area,2,85.0
Kousalya Colony ,914.0,carpet area,2,50.0
Sai Nagar-Hafeezpet,720.0,carpet area,4,80.0
Medchal,1100.0,carpet area,3,42.9
Prasanth Nagar,1000.0,super area,2,48.0
Saket,702.0,carpet area,1,50.0
Isnapur,1035.0,super area,2,45.0
,1250.0,carpet area,3,68.0
Ambedkar Nagar-Hafeezpet,1200.0,carpet area,2,66.0
Bachupally,1195.0,super area,2,65.7
,1500.0,carpet area,2,85.0
Bandlaguda Jagir,1100.0,super area,2,55.0
Patancheru,1800.0,super area,2,105.0
Nagole,960.0,carpet area,2,75.0
,890.0,carpet area,2,43.0
